figure,experiment,frame,panel_order,panel_key,panel_label,png_path,tif_path,crop_x0,crop_y0,crop_x1,crop_y1,crop_width,crop_height
E3_ablation_A0_vs_A2A5,experiment_3_rap_fsam3_ablation,0025,1,rgb_gt,RGB + GT,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E3_ablation_A0_vs_A2A5/frame_0025/0025_01_rgb_gt.png,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E3_ablation_A0_vs_A2A5/frame_0025/0025_01_rgb_gt.tif,0,566,2160,3435,2160,2869
E3_ablation_A0_vs_A2A5,experiment_3_rap_fsam3_ablation,0025,2,a0_mask,A0 mask,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E3_ablation_A0_vs_A2A5/frame_0025/0025_02_a0_mask.png,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E3_ablation_A0_vs_A2A5/frame_0025/0025_02_a0_mask.tif,0,566,2160,3435,2160,2869
E3_ablation_A0_vs_A2A5,experiment_3_rap_fsam3_ablation,0025,3,a0_error,A0 error,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E3_ablation_A0_vs_A2A5/frame_0025/0025_03_a0_error.png,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E3_ablation_A0_vs_A2A5/frame_0025/0025_03_a0_error.tif,0,566,2160,3435,2160,2869
E3_ablation_A0_vs_A2A5,experiment_3_rap_fsam3_ablation,0025,4,a2a5_mask,A2/A5 mask,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E3_ablation_A0_vs_A2A5/frame_0025/0025_04_a2a5_mask.png,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E3_ablation_A0_vs_A2A5/frame_0025/0025_04_a2a5_mask.tif,0,566,2160,3435,2160,2869
E3_ablation_A0_vs_A2A5,experiment_3_rap_fsam3_ablation,0025,5,a2a5_error,A2/A5 error,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E3_ablation_A0_vs_A2A5/frame_0025/0025_05_a2a5_error.png,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E3_ablation_A0_vs_A2A5/frame_0025/0025_05_a2a5_error.tif,0,566,2160,3435,2160,2869
E3_ablation_A0_vs_A2A5,experiment_3_rap_fsam3_ablation,0025,6,a2a5_minus_a0,A2/A5 - A0,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E3_ablation_A0_vs_A2A5/frame_0025/0025_06_a2a5_minus_a0.png,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E3_ablation_A0_vs_A2A5/frame_0025/0025_06_a2a5_minus_a0.tif,0,566,2160,3435,2160,2869
E3_ablation_A0_vs_A2A5,experiment_3_rap_fsam3_ablation,0000,1,rgb_gt,RGB + GT,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E3_ablation_A0_vs_A2A5/frame_0000/0000_01_rgb_gt.png,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E3_ablation_A0_vs_A2A5/frame_0000/0000_01_rgb_gt.tif,0,355,2160,3120,2160,2765
E3_ablation_A0_vs_A2A5,experiment_3_rap_fsam3_ablation,0000,2,a0_mask,A0 mask,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E3_ablation_A0_vs_A2A5/frame_0000/0000_02_a0_mask.png,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E3_ablation_A0_vs_A2A5/frame_0000/0000_02_a0_mask.tif,0,355,2160,3120,2160,2765
E3_ablation_A0_vs_A2A5,experiment_3_rap_fsam3_ablation,0000,3,a0_error,A0 error,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E3_ablation_A0_vs_A2A5/frame_0000/0000_03_a0_error.png,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E3_ablation_A0_vs_A2A5/frame_0000/0000_03_a0_error.tif,0,355,2160,3120,2160,2765
E3_ablation_A0_vs_A2A5,experiment_3_rap_fsam3_ablation,0000,4,a2a5_mask,A2/A5 mask,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E3_ablation_A0_vs_A2A5/frame_0000/0000_04_a2a5_mask.png,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E3_ablation_A0_vs_A2A5/frame_0000/0000_04_a2a5_mask.tif,0,355,2160,3120,2160,2765
E3_ablation_A0_vs_A2A5,experiment_3_rap_fsam3_ablation,0000,5,a2a5_error,A2/A5 error,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E3_ablation_A0_vs_A2A5/frame_0000/0000_05_a2a5_error.png,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E3_ablation_A0_vs_A2A5/frame_0000/0000_05_a2a5_error.tif,0,355,2160,3120,2160,2765
E3_ablation_A0_vs_A2A5,experiment_3_rap_fsam3_ablation,0000,6,a2a5_minus_a0,A2/A5 - A0,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E3_ablation_A0_vs_A2A5/frame_0000/0000_06_a2a5_minus_a0.png,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E3_ablation_A0_vs_A2A5/frame_0000/0000_06_a2a5_minus_a0.tif,0,355,2160,3120,2160,2765
